Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2014,Germany,Argentina,2014-07-13,20:00:00,1,0,0,0,0,0,1.0,0.0,,,Extra time,10,10,7,2,20,16,5,3,2,2,0,0,2.5,3.2,3.2,2.47,3.33,3.21,2.5,3.4,4.0,2.35,3.23,3.3,0.40989059585840915,0.29821761618181475,0.2918917879597762
World Cup 2014,Brazil,Netherlands,2014-07-12,21:00:00,0,3,0,2,0,1,,,,,90 minutes,11,8,5,5,16,20,4,1,3,2,0,0,2.1,3.75,3.6,2.11,3.71,3.61,2.3,3.9,3.68,2.15,3.64,3.29,0.4456020628760451,0.2631990206548068,0.29119891646914803
World Cup 2014,Netherlands,Argentina,2014-07-09,21:00:00,0,1,0,0,0,0,0.0,0.0,2.0,4.0,Penalties,7,8,3,5,15,10,4,4,2,1,0,0,3.2,3.25,2.5,3.19,3.24,2.54,3.22,3.4,2.7,3.04,3.19,2.5,0.31555914310359834,0.30072093888242596,0.38371991801397554
World Cup 2014,Brazil,Germany,2014-07-08,21:00:00,1,7,0,5,1,2,,,,,90 minutes,18,14,13,12,11,14,7,5,1,0,0,0,2.63,3.25,3.0,2.61,3.19,3.14,2.95,3.3,3.14,2.62,3.14,2.91,0.3656656688703558,0.30510957084087015,0.329224760288774
World Cup 2014,Netherlands,Costa Rica,2014-07-05,21:00:00,1,0,0,0,0,0,0.0,0.0,4.0,3.0,Penalties,20,6,15,3,15,13,11,1,2,4,0,0,1.53,4.2,7.5,1.53,4.25,7.65,1.56,4.3,7.65,1.52,4.11,6.99,0.630007302487451,0.2329954014065512,0.1369972961059979
World Cup 2014,Argentina,Belgium,2014-07-05,17:00:00,1,0,1,0,0,0,,,,,90 minutes,10,10,7,4,11,14,3,4,1,2,0,0,2.0,3.4,4.33,2.0,3.41,4.35,2.1,3.5,4.5,1.98,3.33,4.2,0.48402167819099234,0.2877966735189684,0.2281816482900392
World Cup 2014,Brazil,Colombia,2014-07-04,21:00:00,2,1,1,0,1,1,,,,,90 minutes,12,11,6,5,31,23,4,6,2,2,0,0,1.75,3.9,5.0,1.75,3.87,5.27,1.9,3.95,5.27,1.76,3.73,4.86,0.5452593078306693,0.2572805313088413,0.1974601608604893
World Cup 2014,France,Germany,2014-07-04,17:00:00,0,1,0,1,0,0,,,,,90 minutes,13,8,9,6,15,18,5,3,0,2,0,0,2.8,3.2,2.8,2.82,3.25,2.79,3.1,3.25,2.9,2.79,3.11,2.77,0.3443139261148126,0.30888612664319204,0.3467999472419954
World Cup 2014,Belgium,USA,2014-07-01,21:00:00,2,1,0,0,0,0,2.0,1.0,,,Extra time,38,14,27,9,27,11,19,4,1,1,0,0,2.0,3.4,4.33,2.01,3.43,4.32,2.1,3.65,4.42,2.0,3.37,4.04,0.47880765822161575,0.28415884760926746,0.2370334941691167
World Cup 2014,Argentina,Switzerland,2014-07-01,17:00:00,1,0,0,0,0,0,1.0,0.0,,,Extra time,29,14,22,7,19,28,13,5,3,2,0,0,1.57,4.2,6.5,1.57,4.29,6.68,1.59,4.5,7.4,1.56,4.1,6.35,0.6149467368968042,0.23397973403878408,0.15107352906441177
