Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2018,France,Croatia,2018-07-15,16:00:00,4,2,2,1,2,1,,,,,90 minutes,8,15,6,3,14,13,2,6,2,1,0,0,2.2,3.02,4.25,2.21,3.5,4.88,2.13,3.09,4.15,0.45401438145917644,0.3129613697437042,0.23302424879711944
World Cup 2018,Belgium,England,2018-07-14,15:00:00,2,0,1,0,1,0,,,,,90 minutes,12,15,4,5,11,5,4,5,1,2,0,0,2.17,3.94,3.27,2.28,4.0,3.42,2.2,3.74,3.18,0.438585104656823,0.2579912380334253,0.30342365730975174
World Cup 2018,Croatia,England,2018-07-11,19:00:00,1,1,0,1,1,0,1.0,0.0,,,Extra time,22,11,7,1,23,14,8,4,2,1,0,0,3.9,2.99,2.33,4.28,3.1,2.36,3.81,2.99,2.28,0.2534661416795868,0.3229785952505772,0.42355526306983593
World Cup 2018,France,Belgium,2018-07-10,19:00:00,1,0,0,0,1,0,,,,,90 minutes,19,9,5,3,6,16,4,5,2,3,0,0,2.6,3.19,3.1,2.7,3.25,3.2,2.59,3.13,3.02,0.37242672697400814,0.3081741926078853,0.31939908041810633
World Cup 2018,Russia,Croatia,2018-07-07,19:00:00,2,2,1,1,0,0,1.0,1.0,3.0,4.0,Penalties,13,17,7,3,25,18,6,8,1,4,0,0,4.13,3.19,2.15,4.39,3.3,2.21,4.03,3.15,2.12,0.23921679604242713,0.30604561525427976,0.45473758870329306
World Cup 2018,Sweden,England,2018-07-07,15:00:00,0,2,0,1,0,1,,,,,90 minutes,7,12,3,2,10,7,1,6,2,1,0,0,5.25,3.45,1.85,5.6,3.5,1.92,5.07,3.35,1.85,0.190332140718333,0.28805491147520845,0.5216129478064585
World Cup 2018,Brazil,Belgium,2018-07-06,19:00:00,1,2,0,2,1,0,,,,,90 minutes,26,8,9,3,14,16,8,4,2,2,0,0,2.17,3.45,3.73,2.2,3.55,4.04,2.12,3.42,3.69,0.45570360740981464,0.28248293792655177,0.2618134546636334
World Cup 2018,Uruguay,France,2018-07-06,15:00:00,0,2,0,1,0,1,,,,,90 minutes,11,11,4,2,17,15,4,3,2,2,0,0,4.8,3.13,2.03,5.25,3.26,2.1,4.61,3.11,2.01,0.2093869224868779,0.31037739957058114,0.480235677942541
World Cup 2018,Colombia,England,2018-07-03,19:00:00,1,1,0,0,1,1,0.0,0.0,3.0,4.0,Penalties,14,16,4,2,23,13,2,7,6,2,0,0,4.19,3.16,2.15,4.3,3.2,2.22,4.07,3.11,2.15,0.23799862607538078,0.3114644399121543,0.45053693401246503
World Cup 2018,Sweden,Switzerland,2018-07-03,15:00:00,1,0,0,0,1,0,,,,,90 minutes,12,18,3,4,11,13,3,11,1,2,0,1,3.53,2.98,2.49,3.6,3.01,2.63,3.37,2.95,2.53,0.28782041641118195,0.32879823840870614,0.38338134518011197
World Cup 2018,Belgium,Japan,2018-07-02,19:00:00,3,2,0,0,3,2,,,,,90 minutes,24,11,8,4,13,9,10,6,0,1,0,0,1.44,4.7,8.71,1.49,5.0,10.0,1.43,4.71,8.58,0.68014440433213,0.20649819494584837,0.11335740072202165
World Cup 2018,Brazil,Mexico,2018-07-02,15:00:00,2,0,0,0,2,0,,,,,90 minutes,21,13,10,1,6,18,8,7,2,4,0,0,1.49,4.5,7.9,1.55,4.65,8.5,1.49,4.44,7.61,0.653005533126284,0.21913924422481149,0.12785522264890448
World Cup 2018,Croatia,Denmark,2018-07-01,19:00:00,1,1,1,1,0,0,0.0,0.0,3.0,2.0,Penalties,22,15,7,3,5,19,5,4,0,1,0,0,2.04,3.24,4.5,2.05,3.3,5.2,1.99,3.22,4.61,0.4878803913770834,0.30151614249701736,0.21060346612589934
World Cup 2018,Spain,Russia,2018-07-01,15:00:00,1,1,1,1,0,0,0.0,0.0,3.0,4.0,Penalties,25,6,9,1,5,19,6,5,1,2,0,0,1.63,4.03,6.3,1.65,4.25,7.0,1.59,4.1,6.33,0.6101319566397957,0.2366121490383598,0.15325589432184442
World Cup 2018,Uruguay,Portugal,2018-06-30,19:00:00,2,1,1,0,1,1,,,,,90 minutes,6,20,3,5,13,13,2,10,0,1,0,0,3.14,3.02,2.7,3.2,3.05,2.85,3.05,2.98,2.74,0.31881364403073653,0.3263025551321297,0.3548838008371337
World Cup 2018,France,Argentina,2018-06-30,15:00:00,4,3,1,1,3,2,,,,,90 minutes,9,9,4,4,21,15,0,4,3,5,0,0,2.49,3.17,3.3,2.55,3.2,3.5,2.43,3.12,3.33,0.3986325494664871,0.3104734279498601,0.29089402258365277
World Cup 2018,England,Belgium,2018-06-28,19:00:00,0,1,0,0,0,1,,,,,90 minutes,13,15,1,4,11,14,7,2,0,2,0,0,2.43,2.85,3.86,2.7,3.0,3.9,2.46,2.85,3.67,0.39471747670640445,0.34070350620973855,0.26457901708385695
World Cup 2018,Panama,Tunisia,2018-06-28,19:00:00,1,2,1,0,0,2,,,,,90 minutes,9,15,4,7,18,19,0,6,3,3,0,0,4.32,3.79,1.91,4.72,3.85,1.93,4.34,3.73,1.88,0.22361111996887734,0.2601802307412675,0.5162086492898551
World Cup 2018,Japan,Poland,2018-06-28,15:00:00,0,1,0,0,0,1,,,,,90 minutes,10,11,3,2,11,8,5,7,1,0,0,0,3.01,3.2,2.67,3.1,3.25,3.06,2.96,3.15,2.67,0.32805204835067103,0.30826478194221785,0.363683169707111
World Cup 2018,Senegal,Colombia,2018-06-28,15:00:00,0,1,0,0,0,1,,,,,90 minutes,8,4,3,2,15,15,1,3,1,1,0,0,5.24,3.9,1.75,5.65,4.0,1.9,5.07,3.79,1.76,0.19162915231449426,0.25634823277954777,0.552022614905958
World Cup 2018,Serbia,Brazil,2018-06-27,19:00:00,0,2,0,1,0,1,,,,,90 minutes,10,13,1,6,13,7,5,9,3,0,0,0,7.53,4.68,1.49,8.5,4.85,1.55,7.34,4.64,1.48,0.1326021472155712,0.20976287943152858,0.6576349733529003
World Cup 2018,Switzerland,Costa Rica,2018-06-27,19:00:00,2,2,1,0,1,2,,,,,90 minutes,12,14,3,6,9,14,6,5,3,3,0,0,1.63,3.63,7.3,1.65,3.9,8.5,1.61,3.68,7.37,0.6038818046806985,0.2641982895478056,0.13191990577149587
World Cup 2018,Mexico,Sweden,2018-06-27,15:00:00,0,3,0,0,0,3,,,,,90 minutes,19,13,3,5,14,11,7,3,3,2,0,0,2.25,3.43,3.51,2.4,3.5,3.72,2.23,3.38,3.52,0.4360555038373295,0.2876934241293624,0.2762510720333082
World Cup 2018,South Korea,Germany,2018-06-27,15:00:00,2,0,0,0,2,0,,,,,90 minutes,11,26,5,6,16,7,3,9,4,0,0,0,19.5,8.5,1.17,23.75,9.2,1.2,18.76,8.19,1.17,0.051747014595311794,0.118531623175586,0.8297213622291021
World Cup 2018,Iceland,Croatia,2018-06-26,19:00:00,1,2,0,0,1,2,,,,,90 minutes,17,13,6,2,10,12,10,5,3,2,0,0,4.19,4.13,1.83,4.88,4.15,2.0,4.36,3.93,1.84,0.22326511961072482,0.24769361870299242,0.5290412616862827
World Cup 2018,Nigeria,Argentina,2018-06-26,19:00:00,1,2,0,1,1,1,,,,,90 minutes,9,8,3,4,20,15,3,5,2,3,0,0,5.88,5.32,1.51,6.6,5.55,1.56,5.91,5.14,1.5,0.16420885833312035,0.18880823983438547,0.6469829018324942
World Cup 2018,Australia,Peru,2018-06-26,15:00:00,0,2,0,1,0,1,,,,,90 minutes,14,4,2,3,13,12,8,3,4,2,0,0,3.01,3.51,2.48,3.16,3.6,2.75,2.9,3.5,2.5,0.33460803059273425,0.27724665391969405,0.3881453154875717
World Cup 2018,Denmark,France,2018-06-26,15:00:00,0,0,0,0,0,0,,,,,90 minutes,5,11,1,4,10,10,4,2,1,0,0,0,5.35,2.75,2.08,6.45,3.34,2.3,5.27,2.78,2.08,0.1841845412905404,0.3491555872666,0.46665987144285953
World Cup 2018,Iran,Portugal,2018-06-25,19:00:00,1,1,0,1,1,0,,,,,90 minutes,7,14,2,4,16,11,1,5,2,4,0,0,6.41,4.14,1.61,7.0,4.3,1.67,6.24,4.04,1.61,0.1557552130726717,0.24057240831026525,0.603672378617063
World Cup 2018,Spain,Morocco,2018-06-25,19:00:00,2,2,1,1,1,1,,,,,90 minutes,16,6,4,3,5,17,7,1,0,6,0,0,1.38,5.15,9.65,1.41,6.12,12.97,1.37,5.09,9.86,0.7101766123429119,0.19114773259524348,0.09867565506184477
World Cup 2018,Saudi Arabia,Egypt,2018-06-25,15:00:00,2,1,1,1,1,0,,,,,90 minutes,22,8,7,1,7,16,7,2,0,2,0,0,5.48,3.65,1.78,7.1,3.85,1.85,5.27,3.62,1.78,0.18462190845118845,0.26877277832534896,0.5466053132234625
World Cup 2018,Uruguay,Russia,2018-06-25,15:00:00,3,0,2,0,1,0,,,,,90 minutes,17,3,7,1,17,18,4,2,1,3,0,1,2.77,3.04,3.03,3.06,3.25,3.08,2.74,3.06,2.96,0.35447159562311176,0.3174026705906295,0.32812573378625887
World Cup 2018,Poland,Colombia,2018-06-24,19:00:00,0,3,0,1,0,2,,,,,90 minutes,9,13,2,3,15,10,7,5,2,0,0,0,3.49,3.39,2.28,3.6,3.77,2.4,3.46,3.45,2.22,0.28078395143196516,0.28159781795785493,0.4376182306101799
World Cup 2018,Japan,Senegal,2018-06-24,16:00:00,2,2,1,1,1,1,,,,,90 minutes,7,14,3,7,8,14,2,5,2,3,0,0,3.22,2.95,2.7,3.52,3.53,2.85,3.16,2.96,2.67,0.3075893204639215,0.32837238265742974,0.36403829687864875
World Cup 2018,England,Panama,2018-06-24,13:00:00,6,1,5,0,1,1,,,,,90 minutes,12,8,7,2,14,13,3,2,1,3,0,0,1.23,6.32,18.06,1.24,7.0,24.25,1.22,6.41,18.09,0.7950590653623766,0.151321694187535,0.05361924045008841
World Cup 2018,Germany,Sweden,2018-06-23,19:00:00,2,1,0,1,2,0,,,,,90 minutes,16,8,5,6,12,13,8,3,2,2,1,0,1.48,4.73,7.62,1.51,4.95,8.6,1.47,4.62,7.45,0.6598494303313338,0.20995209146906077,0.13019847819960548
World Cup 2018,South Korea,Mexico,2018-06-23,16:00:00,1,2,0,1,1,1,,,,,90 minutes,17,13,6,5,24,7,7,5,4,0,0,0,5.53,3.82,1.73,6.57,4.1,1.75,5.56,3.82,1.71,0.17522465731376916,0.25503903001689954,0.5697363126693311
World Cup 2018,Belgium,Tunisia,2018-06-23,13:00:00,5,2,3,1,2,1,,,,,90 minutes,23,15,12,5,12,13,5,2,0,1,0,0,1.35,5.12,12.0,1.39,5.54,13.5,1.34,5.08,11.48,0.7243729877976072,0.191074764497794,0.08455224770459875
World Cup 2018,Serbia,Switzerland,2018-06-22,19:00:00,1,2,1,0,0,2,,,,,90 minutes,12,20,3,5,17,12,3,7,4,1,0,0,2.71,3.07,3.06,3.02,3.3,3.2,2.74,3.05,2.96,0.35410309310699184,0.3181122869223468,0.3277846199706614
World Cup 2018,Nigeria,Iceland,2018-06-22,16:00:00,2,0,0,0,2,0,,,,,90 minutes,16,10,4,3,9,10,6,5,1,0,0,0,2.96,3.11,2.77,3.13,3.22,2.85,2.98,3.07,2.71,0.3256994765914633,0.3161512834666322,0.35814923994190434
World Cup 2018,Brazil,Costa Rica,2018-06-22,13:00:00,2,0,0,0,2,0,,,,,90 minutes,23,4,9,0,11,11,10,1,2,1,0,0,1.21,6.75,19.5,1.24,7.15,21.9,1.21,6.7,18.82,0.8032836178404976,0.14507062352044806,0.0516457586390543
World Cup 2018,Argentina,Croatia,2018-06-21,19:00:00,0,3,0,0,0,3,,,,,90 minutes,10,15,3,5,15,23,5,2,3,4,0,0,2.11,3.22,4.22,2.17,3.54,4.4,2.1,3.27,4.04,0.46253387391550954,0.2970401025145474,0.24042602356994308
World Cup 2018,France,Peru,2018-06-21,16:00:00,1,0,1,0,0,0,,,,,90 minutes,12,10,4,2,11,15,5,3,2,2,0,0,1.63,3.99,6.46,1.65,4.1,7.5,1.62,3.84,6.58,0.5994932095777695,0.2529111977906216,0.14759559263160893
World Cup 2018,Denmark,Australia,2018-06-21,13:00:00,1,1,1,1,0,0,,,,,90 minutes,10,14,5,5,7,5,3,5,2,0,0,0,1.9,3.5,4.79,2.0,3.5,4.85,1.92,3.42,4.62,0.5058199838653913,0.2839691137489916,0.21021090238561715
World Cup 2018,Iran,Spain,2018-06-20,19:00:00,0,1,0,0,0,1,,,,,90 minutes,5,17,0,3,14,14,2,6,2,0,0,0,20.07,6.95,1.21,23.0,7.3,1.25,19.05,6.78,1.21,0.05114164473893374,0.143694444288597,0.8051639109724692
