Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2022,Argentina,France,2022-12-18,15:00:00,2,2,2,0,0,2,1.0,1.0,4.0,2.0,Penalties,21,10,9,5,26,19,6,5,4,3,0,0,2.7,3.1,2.88,2.76,3.15,3.05,2.7,3.2,2.9,2.63,3.12,2.84,0.3611405467973068,0.30442296092208865,0.3344364922806045
World Cup 2022,Croatia,Morocco,2022-12-17,15:00:00,2,1,2,1,0,0,,,,,90 minutes,14,7,4,2,13,11,6,3,0,2,0,0,2.2,3.5,3.1,2.32,3.75,3.25,2.25,3.6,3.15,2.23,3.49,3.09,0.4236119021899244,0.27067465383482275,0.3057134439752529
World Cup 2022,France,Morocco,2022-12-14,19:00:00,2,0,1,0,1,0,,,,,90 minutes,14,13,2,1,11,11,2,3,0,1,0,0,1.55,4.0,6.5,1.62,4.0,7.2,1.62,4.0,6.5,1.58,3.82,6.25,0.6000914903884823,0.24820538084130944,0.15170312877020833
World Cup 2022,Argentina,Croatia,2022-12-13,19:00:00,3,0,2,0,1,0,,,,,90 minutes,10,12,7,3,15,8,2,4,2,2,0,0,1.95,3.1,4.75,2.06,3.1,5.0,2.05,3.13,4.8,1.98,3.07,4.45,0.4784929477323116,0.30860457215308695,0.21290248011460156
World Cup 2022,England,France,2022-12-10,19:00:00,1,2,0,1,1,1,,,,,90 minutes,14,9,6,5,10,14,5,2,1,3,0,0,2.75,3.1,2.7,2.98,3.2,2.8,2.95,3.1,2.8,2.81,3.05,2.69,0.3371633811267408,0.3106324921200465,0.35220412675321255
World Cup 2022,Morocco,Portugal,2022-12-10,15:00:00,1,0,1,0,0,0,,,,,90 minutes,9,11,3,3,15,9,3,9,3,1,1,0,6.5,3.8,1.57,6.6,4.0,1.66,6.5,4.0,1.61,6.17,3.79,1.58,0.1530682930694689,0.24919033462760504,0.5977413723029259
World Cup 2022,Netherlands,Argentina,2022-12-09,19:00:00,2,2,0,1,2,1,0.0,0.0,3.0,4.0,Penalties,5,15,2,6,30,18,2,8,5,8,0,0,3.6,3.1,2.2,3.75,3.25,2.32,3.75,3.15,2.3,3.57,3.06,2.22,0.2649164677804296,0.3090692124105012,0.42601431980906923
World Cup 2022,Croatia,Brazil,2022-12-09,15:00:00,0,0,0,0,0,0,1.0,1.0,4.0,2.0,Penalties,9,20,1,11,22,24,3,7,2,3,0,0,9.0,4.75,1.36,9.8,4.9,1.43,9.0,4.8,1.4,8.53,4.57,1.39,0.11107147790477889,0.20731722243495926,0.6816112996602618
World Cup 2022,Portugal,Switzerland,2022-12-06,19:00:00,6,1,2,0,4,1,,,,,90 minutes,14,10,9,1,12,10,6,6,0,2,0,0,2.0,3.5,3.8,1.96,3.65,4.5,2.0,3.65,4.5,1.91,3.54,4.04,0.4969387826014441,0.26812233750529896,0.23493887989325699
World Cup 2022,Morocco,Spain,2022-12-06,15:00:00,0,0,0,0,0,0,0.0,0.0,3.0,0.0,Penalties,6,13,3,1,15,14,0,8,1,1,0,0,6.0,3.75,1.62,6.6,4.0,1.65,6.5,4.0,1.62,6.04,3.72,1.61,0.15685760978880323,0.25468278578612136,0.5884596044250754
World Cup 2022,Brazil,South Korea,2022-12-05,19:00:00,4,1,4,0,0,1,,,,,90 minutes,18,10,9,6,8,13,5,4,0,1,0,0,1.2,6.5,13.0,1.27,6.6,15.0,1.25,6.75,15.0,1.21,6.39,14.22,0.7846523303619307,0.14858048822189926,0.06676718141616991
World Cup 2022,Japan,Croatia,2022-12-05,15:00:00,1,1,1,0,0,1,0.0,0.0,1.0,3.0,Penalties,12,16,4,4,13,16,8,5,0,2,0,0,3.8,3.25,2.05,4.0,3.35,2.18,4.0,3.25,2.15,3.81,3.2,2.08,0.24861053009024087,0.29600191238869306,0.45538755752106613
World Cup 2022,England,Senegal,2022-12-04,19:00:00,3,0,2,0,1,0,,,,,90 minutes,8,10,4,2,16,12,3,3,0,1,0,0,1.6,3.6,6.5,1.64,3.95,7.0,1.62,3.75,7.0,1.59,3.64,6.53,0.5951301343281713,0.2599606905444484,0.14490917512738014
World Cup 2022,France,Poland,2022-12-04,15:00:00,3,1,1,0,2,1,,,,,90 minutes,16,11,7,3,10,8,7,1,1,2,0,0,1.36,4.75,9.0,1.4,5.1,10.5,1.4,5.1,9.0,1.38,4.79,8.41,0.688614852333081,0.1983900827180901,0.11299506494882897
World Cup 2022,Argentina,Australia,2022-12-03,19:00:00,2,1,1,0,1,1,,,,,90 minutes,14,5,5,2,8,15,1,3,0,2,0,0,1.28,6.0,9.0,1.32,7.0,9.4,1.29,6.5,13.0,1.27,5.92,10.23,0.7470091437128187,0.16025365076271617,0.09273720552446528
World Cup 2022,Netherlands,USA,2022-12-03,15:00:00,3,1,2,0,1,1,,,,,90 minutes,11,18,6,7,10,5,4,5,2,0,0,0,1.9,3.3,4.33,1.99,3.45,4.7,1.95,3.5,4.6,1.9,3.32,4.36,0.49799086255298064,0.2849947707381516,0.2170143667088677
World Cup 2022,Cameroon,Brazil,2022-12-02,19:00:00,1,0,0,0,1,0,,,,,90 minutes,7,19,3,6,14,14,3,11,5,2,1,0,11.0,5.25,1.3,9.8,5.5,1.39,11.0,5.5,1.37,8.95,5.19,1.33,0.10577764428786625,0.18241038851183097,0.7118119672003029
World Cup 2022,Serbia,Switzerland,2022-12-02,19:00:00,2,3,2,2,0,1,,,,,90 minutes,11,14,4,7,18,13,2,0,7,4,0,0,2.55,3.3,2.8,2.62,3.45,2.98,2.55,3.4,2.9,2.51,3.31,2.81,0.37713838530875066,0.28598711393503445,0.336874500756215
World Cup 2022,Ghana,Uruguay,2022-12-02,15:00:00,0,2,0,2,0,0,,,,,90 minutes,9,12,4,7,18,11,5,2,2,5,0,0,4.5,3.8,1.75,4.9,4.0,1.8,4.6,3.9,1.82,4.53,3.74,1.77,0.20961934889376535,0.2538972327510045,0.53648341835523
World Cup 2022,South Korea,Portugal,2022-12-02,15:00:00,2,1,1,1,1,0,,,,,90 minutes,12,12,6,4,9,11,5,4,2,0,0,0,4.0,3.75,1.85,4.5,3.95,1.89,4.4,3.9,1.86,4.25,3.73,1.82,0.22348491083450475,0.25464098419481107,0.5218741049706841
World Cup 2022,Costa Rica,Germany,2022-12-01,19:00:00,2,4,0,1,2,3,,,,,90 minutes,7,32,5,11,3,9,1,14,1,0,0,0,26.0,11.0,1.08,32.0,12.0,1.12,31.0,12.0,1.12,24.4,10.6,1.09,0.0389298830823141,0.0896121836989117,0.8714579332187742
World Cup 2022,Japan,Spain,2022-12-01,19:00:00,2,1,0,1,2,0,,,,,90 minutes,6,14,3,5,9,6,0,2,3,0,0,0,6.5,4.33,1.5,7.4,4.7,1.52,7.5,4.6,1.5,6.98,4.35,1.46,0.13540192048574987,0.21726561034265154,0.6473324691715986
World Cup 2022,Canada,Morocco,2022-12-01,15:00:00,1,2,1,2,0,0,,,,,90 minutes,5,7,0,2,14,14,6,2,4,0,0,0,4.75,3.4,1.83,5.1,3.6,1.89,5.0,3.55,1.86,4.71,3.41,1.82,0.20124191377940628,0.277961704956306,0.5207963812642876
World Cup 2022,Croatia,Belgium,2022-12-01,15:00:00,0,0,0,0,0,0,,,,,90 minutes,11,15,4,4,7,9,2,4,0,1,0,0,3.0,3.4,2.37,3.25,3.5,2.44,3.05,3.5,2.55,2.97,3.34,2.38,0.3187636340305402,0.2834514949313487,0.3977848710381111
World Cup 2022,Poland,Argentina,2022-11-30,19:00:00,0,2,0,0,0,2,,,,,90 minutes,4,25,0,13,6,11,1,9,1,1,0,0,8.5,4.5,1.4,8.8,4.9,1.46,8.5,4.7,1.44,8.15,4.44,1.41,0.11606681016502311,0.21305056370381492,0.670882626131162
World Cup 2022,Saudi Arabia,Mexico,2022-11-30,19:00:00,1,2,0,0,1,2,,,,,90 minutes,10,25,2,10,20,18,1,8,6,1,0,0,5.5,4.2,1.57,5.6,4.4,1.67,5.75,4.35,1.62,5.4,4.13,1.6,0.17597869507323569,0.23009320905459388,0.5939280958721704
World Cup 2022,Australia,Denmark,2022-11-30,15:00:00,1,0,0,0,1,0,,,,,90 minutes,8,14,4,3,11,10,2,6,2,1,0,0,7.0,5.0,1.4,7.8,5.1,1.47,8.0,5.0,1.44,7.65,4.66,1.4,0.1233666773821455,0.20252254977970235,0.6741107728381521
World Cup 2022,Tunisia,France,2022-11-30,15:00:00,1,0,0,0,1,0,,,,,90 minutes,5,9,3,3,14,6,7,8,1,0,0,0,5.75,3.8,1.61,6.6,4.1,1.65,6.0,4.0,1.64,5.84,3.81,1.61,0.16233403639885782,0.24882697442764556,0.5888389891734966
World Cup 2022,Iran,USA,2022-11-29,19:00:00,0,1,0,1,0,0,,,,,90 minutes,6,12,2,5,13,10,1,5,3,1,0,0,4.2,3.4,1.9,4.6,3.6,1.97,4.25,3.5,2.0,4.03,3.45,1.93,0.23495142890412452,0.27445050970539764,0.49059806139047774
World Cup 2022,Wales,England,2022-11-29,19:00:00,0,3,0,0,0,3,,,,,90 minutes,7,17,1,7,16,9,1,6,2,0,0,0,8.5,4.2,1.44,9.8,4.6,1.45,9.5,4.5,1.44,8.45,4.35,1.41,0.11191395024222021,0.2173960642636232,0.6706899854941566
World Cup 2022,Ecuador,Senegal,2022-11-29,15:00:00,1,2,0,1,1,1,,,,,90 minutes,8,15,4,5,23,11,3,6,0,1,0,0,2.45,3.0,3.25,2.54,3.15,3.4,2.5,3.1,3.3,2.44,3.01,3.18,0.38790860533162586,0.3144508295711519,0.29764056509722236
World Cup 2022,Netherlands,Qatar,2022-11-29,15:00:00,2,0,1,0,1,0,,,,,90 minutes,13,6,4,4,19,9,4,2,1,0,0,0,1.18,7.0,15.0,1.21,7.8,19.5,1.21,7.25,17.0,1.19,6.81,14.61,0.7960553319267522,0.139105116739036,0.06483955133421185
World Cup 2022,Portugal,Uruguay,2022-11-28,19:00:00,2,0,0,0,2,0,,,,,90 minutes,15,10,4,3,10,16,6,2,3,2,0,0,1.9,3.3,4.5,1.98,3.5,4.7,1.95,3.4,4.6,1.92,3.29,4.34,0.49358757198857856,0.2880511058413589,0.2183613221700624
World Cup 2022,Brazil,Switzerland,2022-11-28,16:00:00,1,0,0,0,1,0,,,,,90 minutes,9,4,5,0,10,17,8,3,1,1,0,0,1.5,4.2,7.5,1.5,4.4,9.0,1.5,4.35,8.5,1.47,4.19,7.4,0.645376150264449,0.22642074961545108,0.1282031001201
World Cup 2022,South Korea,Ghana,2022-11-28,13:00:00,2,3,0,2,2,1,,,,,90 minutes,21,8,6,3,13,9,12,5,2,2,0,0,2.75,3.1,2.75,2.84,3.2,2.94,2.75,3.2,2.88,2.7,3.07,2.79,0.3512196922168505,0.30889028305716504,0.3398900247259844
World Cup 2022,Cameroon,Serbia,2022-11-28,10:00:00,3,3,1,2,2,1,,,,,90 minutes,13,16,8,6,8,13,4,3,2,2,0,0,5.0,3.8,1.7,5.7,3.95,1.73,5.6,3.8,1.71,5.17,3.73,1.69,0.18364695223029215,0.25454550751490895,0.561807540254799
World Cup 2022,Spain,Germany,2022-11-27,19:00:00,1,1,0,0,1,1,,,,,90 minutes,7,10,3,4,13,11,6,5,1,3,0,0,2.5,3.5,2.75,2.62,3.5,2.98,2.6,3.5,2.88,2.5,3.38,2.79,0.3794055167530335,0.2806253822137822,0.3399691010331842
World Cup 2022,Croatia,Canada,2022-11-27,16:00:00,4,1,2,1,2,0,,,,,90 minutes,13,9,10,2,13,5,5,2,2,2,0,0,2.25,3.25,3.5,2.32,3.35,3.6,2.25,3.3,3.65,2.2,3.23,3.47,0.43194299389936064,0.2942026583834655,0.2738543477171739
World Cup 2022,Belgium,Morocco,2022-11-27,13:00:00,0,2,0,0,0,2,,,,,90 minutes,10,11,4,4,10,14,9,1,1,1,0,0,1.9,3.5,4.2,1.97,3.45,4.8,1.95,3.5,4.75,1.88,3.35,4.41,0.5031451895798355,0.2823620765403255,0.2144927338798391
World Cup 2022,Japan,Costa Rica,2022-11-27,10:00:00,0,1,0,0,0,1,,,,,90 minutes,14,4,3,1,22,9,5,0,3,3,0,0,1.45,4.33,7.5,1.52,4.5,8.2,1.51,4.33,7.75,1.47,4.15,7.36,0.643523366277808,0.22794683094659704,0.1285298027755948
World Cup 2022,Argentina,Mexico,2022-11-26,19:00:00,2,0,0,0,2,0,,,,,90 minutes,5,4,2,1,15,19,4,2,1,4,0,0,1.55,3.8,7.0,1.58,4.1,7.6,1.58,4.1,8.0,1.52,3.89,7.1,0.6231189564071673,0.24348092898172088,0.13340011461111187
World Cup 2022,France,Denmark,2022-11-26,16:00:00,2,1,0,0,2,1,,,,,90 minutes,21,10,6,2,4,9,6,4,1,2,0,0,1.8,3.6,4.5,1.86,3.65,5.1,1.86,3.6,4.8,1.81,3.47,4.67,0.5237812032335325,0.2732115209950126,0.20300727577145478
World Cup 2022,Poland,Saudi Arabia,2022-11-26,13:00:00,2,0,1,0,1,0,,,,,90 minutes,8,16,3,5,18,15,4,5,3,2,0,0,1.7,3.6,5.25,1.75,3.75,6.0,1.74,3.65,6.0,1.7,3.54,5.45,0.5579881999074503,0.2679604349838038,0.17405136510874594
World Cup 2022,Tunisia,Australia,2022-11-26,10:00:00,0,1,0,1,0,0,,,,,90 minutes,13,8,4,2,16,15,5,2,3,0,0,0,2.15,3.3,3.6,2.26,3.55,3.55,2.2,3.4,3.65,2.16,3.27,3.51,0.43937984496124033,0.2902325581395349,0.27038759689922487
World Cup 2022,England,USA,2022-11-25,19:00:00,0,0,0,0,0,0,,,,,90 minutes,8,10,3,2,9,15,3,7,0,0,0,0,1.45,4.2,8.0,1.5,4.4,9.0,1.5,4.33,8.5,1.46,4.14,7.69,0.6482923491704067,0.22862483811323522,0.12308281271635807
World Cup 2022,Netherlands,Ecuador,2022-11-25,16:00:00,1,1,1,0,0,1,,,,,90 minutes,2,13,1,5,15,12,2,5,0,1,0,0,1.85,3.3,4.75,1.91,3.5,5.1,1.86,3.5,5.1,1.83,3.36,4.75,0.5181599477944112,0.28221211442374183,0.19962793778184687
World Cup 2022,Qatar,Senegal,2022-11-25,13:00:00,1,3,0,1,1,2,,,,,90 minutes,10,12,2,4,7,12,6,7,3,3,0,0,5.25,3.6,1.7,5.9,3.7,1.77,6.25,3.65,1.74,5.44,3.55,1.7,0.17444717444717445,0.26732186732186736,0.5582309582309583
World Cup 2022,Wales,Iran,2022-11-25,10:00:00,0,2,0,0,0,2,,,,,90 minutes,10,21,3,6,9,10,2,7,1,2,1,0,2.1,3.2,3.8,2.22,3.25,4.0,2.2,3.2,4.0,2.11,3.16,3.76,0.44865346564562664,0.29957557357983294,0.2517709607745405
World Cup 2022,Brazil,Serbia,2022-11-24,19:00:00,2,0,0,0,2,0,,,,,90 minutes,24,4,10,0,7,12,6,4,0,3,0,0,1.44,4.33,7.0,1.52,4.7,7.2,1.48,4.6,7.5,1.44,4.46,7.08,0.6551964543598426,0.2115432498381555,0.1332602958020019
World Cup 2022,Portugal,Ghana,2022-11-24,16:00:00,3,2,0,0,3,2,,,,,90 minutes,11,8,5,3,14,19,3,3,2,4,0,0,1.28,5.25,10.0,1.34,5.8,11.5,1.33,5.75,11.0,1.29,5.38,10.4,0.7332370570921604,0.17581334640313886,0.09094959650470066
World Cup 2022,Uruguay,South Korea,2022-11-24,13:00:00,0,0,0,0,0,0,,,,,Penalties,10,6,0,0,7,10,4,3,1,1,0,0,1.75,3.5,5.0,1.83,3.65,5.5,1.8,3.55,5.2,1.77,3.46,4.94,0.5347993141512623,0.27358230810628154,0.1916183777424563
World Cup 2022,Switzerland,Cameroon,2022-11-24,10:00:00,1,0,0,0,1,0,,,,,Penalties,8,7,3,3,12,10,11,5,2,1,0,0,1.72,3.4,5.5,1.84,3.6,5.3,1.83,3.45,5.5,1.8,3.37,4.95,0.5269367448471927,0.2814498933901919,0.19161336176261548
