team,n_players,n_with_club_elo,avg_club_elo,median_club_elo,avg_attack_per90,rt_value_estimate_eur,squad_market_value_eur,squad_avg_value_eur,n_valued,z_club_elo,z_attack,z_value,squad_index
Spain,33,29,1856.7892308734488,1831.10339355,0.7911452402687077,450868320.0,2134173029.0,82083578.03846154,26.0,1.6896168057773013,1.2803667293775267,2.1517228591938946,1.638800489720699
France,26,23,1808.7359300691307,1803.82458496,0.8528150145060754,316126480.0,1546204469.0,59469402.65384615,26.0,1.3285487747335845,1.733561582825735,1.8316296388571005,1.5709194303905403
Germany,28,27,1847.9593777137036,1834.76867676,0.8261816614768681,357108000.0,988741629.0,38028524.192307696,26.0,1.6232701107234655,1.5378401184265293,1.3875326499894693,1.5462221212727387
England,40,32,1876.08191299375,1837.53112793,0.7583890526761244,518849100.0,1321818896.0,50839188.307692304,26.0,1.8345802241092946,1.039650173834378,1.6758971679520926,1.5246180952816333
Brazil,27,14,1843.188276017857,1837.06072998,0.783463905230848,246653080.0,893232413.0,34355092.807692304,26.0,1.5874204965160303,1.2239186306157173,1.2866344619130667,1.400037636530328
Portugal,27,18,1726.2393120655554,1754.6936035150002,0.8044329104768263,265715000.0,1145908765.0,44073414.038461536,26.0,0.708676863090837,1.3780143019056512,1.534053706455992,1.108020335349053
Argentina,34,25,1765.8418554676,1823.50854492,0.7604639244393131,325213000.0,1025039444.0,39424594.0,26.0,1.0062466893287605,1.0548978574244425,1.4233417762332452,1.1066936155431462
Turkey,26,23,1703.5466892404347,1684.27062988,0.8511112875016817,193292060.0,461171375.0,17737360.576923076,26.0,0.5381666066560123,1.7210413438655587,0.6300349437359132,0.9705464320953336
Netherlands,33,30,1789.5607869453336,1777.30883789,0.6403409348476672,371041280.0,765217546.0,29431444.076923076,26.0,1.1844685334847094,0.1721457906792372,1.1329955344693254,0.8198609736997173
Mexico,26,7,1730.6999686100003,1747.13122559,0.7599865824328443,113208220.0,411906509.0,15842558.038461538,26.0,0.7421938213165298,1.051389997320502,0.5178268138056691,0.805539081415748
