Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2063.7578125,2026-05-31,2026-08-21
2,Bayern,GER,1,2000.87036133,2026-05-21,2026-07-03
3,Man City,ENG,1,1970.85400391,2026-05-31,2026-07-04
4,Paris SG,FRA,1,1967.87890625,2026-05-31,2026-07-04
5,Barcelona,ESP,1,1951.58874512,2026-05-28,2026-07-04
6,Real Madrid,ESP,1,1922.9119873,2026-05-28,2026-07-04
7,Aston Villa,ENG,1,1920.9699707,2026-05-31,2026-07-04
8,Man United,ENG,1,1915.31591797,2026-05-31,2026-07-04
9,Liverpool,ENG,1,1910.79882812,2026-05-31,2026-07-04
10,Inter,ITA,1,1888.60229492,2026-05-24,2026-07-04
11,Bournemouth,ENG,1,1871.97009277,2026-05-31,2026-07-04
12,Sporting,POR,1,1847.92749023,2026-05-25,2026-07-04
13,Brighton,ENG,1,1842.01037598,2026-05-31,2026-07-04
14,Newcastle,ENG,1,1837.53112793,2026-05-31,2026-07-04
15,Brentford,ENG,1,1836.59033203,2026-05-31,2026-07-04
16,Dortmund,GER,1,1834.76867676,2026-05-25,2026-07-04
17,Chelsea,ENG,1,1831.10339355,2026-05-31,2026-07-04
18,Atletico,ESP,1,1827.67553711,2026-05-28,2026-07-04
19,Benfica,POR,1,1823.50854492,2026-05-18,2026-07-04
20,Forest,ENG,1,1822.17016602,2026-05-31,2026-07-04
21,Fulham,ENG,1,1813.09558105,2026-05-31,2026-07-04
22,Porto,POR,1,1805.9453125,2026-05-25,2026-07-04
23,Leverkusen,GER,1,1804.02624512,2026-05-31,2026-07-04
24,Crystal Palace,ENG,1,1803.82458496,2026-05-31,2026-07-04
25,Everton,ENG,1,1803.43054199,2026-05-31,2026-07-04
26,Leeds,ENG,1,1797.3885498,2026-05-31,2026-07-04
27,Roma,ITA,1,1793.45080566,2026-05-25,2026-07-04
28,Napoli,ITA,1,1780.29589844,2026-05-25,2026-07-04
29,Tottenham,ENG,1,1777.30883789,2026-05-31,2026-07-04
30,Juventus,ITA,1,1772.25634766,2026-05-25,2026-07-04
31,West Ham,ENG,1,1768.80187988,2026-05-31,2026-07-03
32,Lens,FRA,1,1767.04345703,2026-05-31,2026-07-04
33,Stuttgart,GER,1,1763.83447266,2026-05-25,2026-07-03
34,Atalanta,ITA,1,1763.51843262,2026-05-23,2026-07-04
35,RB Leipzig,GER,1,1761.90356445,2026-05-21,2026-07-04
36,Como,ITA,1,1760.02868652,2026-05-28,2026-07-04
37,Villarreal,ESP,1,1759.34509277,2026-05-28,2026-07-04
38,PSV,NED,1,1759.13476562,2026-05-25,2026-07-04
39,Brugge,BEL,1,1757.43847656,2026-05-25,2026-07-04
40,Milan,ITA,1,1750.04211426,2026-05-25,2026-07-04
41,Betis,ESP,1,1747.13122559,2026-05-28,2026-07-04
42,Lille,FRA,1,1743.70898438,2026-05-31,2026-07-04
43,Sunderland,ENG,1,1735.93017578,2026-05-31,2026-07-04
44,Lyon,FRA,1,1731.61791992,2026-05-31,2026-07-04
45,Freiburg,GER,1,1724.91296387,2026-05-21,2026-07-04
46,Monaco,FRA,1,1717.51831055,2026-05-31,2026-07-04
47,St Gillis,BEL,1,1716.76196289,2026-05-31,2026-07-04
48,Marseille,FRA,1,1716.74279785,2026-05-31,2026-07-04
49,Rennes,FRA,1,1716.11877441,2026-05-31,2026-07-04
50,Strasbourg,FRA,1,1710.80456543,2026-05-31,2026-07-04
51,Bodoe Glimt,NOR,1,1708.89233398,2026-05-30,2026-07-04
52,Rayo Vallecano,ESP,1,1707.33996582,2026-05-28,2026-07-04
53,Lazio,ITA,1,1703.16967773,2026-05-24,2026-07-04
54,Bologna,ITA,1,1701.2779541,2026-05-28,2026-07-04
55,Celta,ESP,1,1700.77734375,2026-05-28,2026-07-04
56,Hoffenheim,GER,1,1700.35375977,2026-05-24,2026-07-04
57,Braga,POR,1,1698.91101074,2026-05-28,2026-07-04
58,Valencia,ESP,1,1697.41503906,2026-05-28,2026-07-04
59,Midtjylland,DEN,1,1687.3840332,2026-05-24,2026-07-04
60,Galatasaray,TUR,1,1684.27062988,2026-05-24,2026-07-04
61,Wolves,ENG,1,1679.6932373,2026-05-31,2026-07-03
62,Bilbao,ESP,1,1677.90087891,2026-05-28,2026-07-04
63,Mainz,GER,1,1671.92553711,2026-05-21,2026-07-04
64,Fiorentina,ITA,1,1670.17321777,2026-05-28,2026-07-04
65,Sociedad,ESP,1,1669.46557617,2026-05-28,2026-07-04
66,Burnley,ENG,1,1666.33666992,2026-05-31,2026-07-03
67,Getafe,ESP,1,1664.07507324,2026-05-28,2026-07-04
68,Frankfurt,GER,1,1663.77978516,2026-05-24,2026-07-04
69,Olympiakos,GRE,1,1663.37609863,2026-05-24,2026-07-04
70,Coventry,ENG,2,1661.4777832,2026-05-31,2026-07-03
71,Zenit,RUS,1,1657.19775391,2026-05-24,2026-07-04
72,Fenerbahce,TUR,1,1655.55847168,2026-05-24,2026-07-04
73,Slavia Praha,CZE,1,1654.11645508,2026-05-25,2026-07-04
74,Toulouse,FRA,1,1652.31567383,2026-05-31,2026-07-04
75,Osasuna,ESP,1,1650.25805664,2026-05-28,2026-07-04
76,Udinese,ITA,1,1645.94152832,2026-05-25,2026-07-04
77,Mallorca,ESP,1,1642.77294922,2026-05-28,2026-07-04
78,Gladbach,GER,1,1640.84313965,2026-05-24,2026-07-04
79,AEK,GRE,1,1640.65844727,2026-05-31,2026-07-04
80,Ipswich,ENG,2,1639.99816895,2026-05-31,2026-07-03
81,Lorient,FRA,1,1639.05761719,2026-05-31,2026-07-04
82,Levante,ESP,1,1638.74023438,2026-05-31,2026-07-04
