team_id,name,confederation
QAT,Qatar,AFC
ECU,Ecuador,CONMEBOL
SEN,Senegal,CAF
NED,Netherlands,UEFA
ENG,England,UEFA
IRN,Iran,AFC
USA,United States,CONCACAF
WAL,Wales,UEFA
ARG,Argentina,CONMEBOL
KSA,Saudi Arabia,AFC
MEX,Mexico,CONCACAF
POL,Poland,UEFA
FRA,France,UEFA
AUS,Australia,AFC
DEN,Denmark,UEFA
TUN,Tunisia,CAF
ESP,Spain,UEFA
CRC,Costa Rica,CONCACAF
GER,Germany,UEFA
JPN,Japan,AFC
BEL,Belgium,UEFA
CAN,Canada,CONCACAF
MAR,Morocco,CAF
CRO,Croatia,UEFA
BRA,Brazil,CONMEBOL
SRB,Serbia,UEFA
SUI,Switzerland,UEFA
CMR,Cameroon,CAF
POR,Portugal,UEFA
GHA,Ghana,CAF
URU,Uruguay,CONMEBOL
KOR,South Korea,AFC
